11/19/2012 13:33:45,2.7.x,1.6.x,0.11.x,Linux Package Manager,astrophysics
11/19/2012 13:35:06,2.7.x,1.6.x,0.7.x,ActivePython,Astronomy
11/19/2012 13:35:54,2.7.x,1.6.x,0.10.x,Installed from Source,astronomy
11/19/2012 13:36:51,2.7.x,1.6.x,0.11.x,Installed from Source,Astronomy 
11/19/2012 14:11:01,2.7.x,1.6.x,0.10.x,Enthought Python Distribution,astronomy
11/19/2012 14:12:14,2.7.x,1.6.x,0.11.x,Installed from Source,Astrophysics
11/19/2012 14:13:03,2.7.x,1.5.x,0.10.x,Official binary installers (e.g. MacOS X DMG or official Windows installers),Astronomy & computer science
11/19/2012 14:14:50,2.7.x,1.6.x,0.12.0.dev-1d5c886,"numpy system version, scipy from pip",astronomy
11/19/2012 14:14:53,2.7.x,1.5.x,0.9.x,Linux Package Manager,Astrophysics
11/19/2012 14:15:41,2.7.x,1.5.x,0.8.x,Linux Package Manager,Astrophysics
11/19/2012 14:17:26,2.7.x,None,None,Installed from Source,Astronomy
11/19/2012 14:17:48,2.7.x,1.6.x,0.11.x,Installed from Source,Astronomy
11/19/2012 14:23:02,2.7.x,1.6.x,0.10.x,Enthought Python Distribution,cosmology
11/19/2012 14:30:16,2.7.x,1.6.x,0.9.x,Linux Package Manager,Astronomy
11/19/2012 14:30:32,2.7.x,1.6.x,0.10.x,Linux Package Manager,astronomy
11/19/2012 14:36:47,2.6.x,1.6.x,0.9.x,Linux Package Manager,Astronomy
11/19/2012 14:39:39,2.7.x,1.6.x,0.11.x,Don't know,Astrophysics
11/19/2012 14:39:42,2.7.x,1.6.x,0.10.x,Enthought Python Distribution,Astrophysics
11/19/2012 14:41:50,2.7.x,1.6.x,0.10.x,Linux Package Manager,Observational Astrophysics (X-ray & Optical imaging and spectroscopy)
11/19/2012 14:42:14,2.7.x,1.5.x,0.9.x,Enthought Python Distribution,Astronomy (radio)
